"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,48.3553300202562,6.39805402517403
"2",2022-03-08 00:00:05,1,303,100,48.3220932069308,5.98738857621398
"3",2022-03-08 00:00:10,1,303,100,49.4552189535976,5.82875788334041
"4",2022-03-08 00:00:15,1,303,100,48.5475228816821,5.88633365440875
"5",2022-03-08 00:00:20,1,303,100,50.0120923726841,6.50782044334042
"6",2022-03-08 00:00:25,1,303,100,48.6805256455842,6.47163129176981
"7",2022-03-08 00:00:30,1,303,100,49.031336849276,5.273922114607
"8",2022-03-08 00:00:35,1,303,100,48.39568562263,6.29942802674868
"9",2022-03-08 00:00:40,1,303,100,48.6773084898788,6.05746895016138
"10",2022-03-08 00:00:45,1,303,100,50.356717367505,6.31916749335279
"11",2022-03-08 00:00:50,1,303,100,47.3757108963251,6.43167021271188
"12",2022-03-08 00:00:55,1,303,100,50.1709395521973,6.36116722920845
"13",2022-03-08 00:01:00,1,303,100,46.9466350107798,5.7400603828512
"14",2022-03-08 00:01:05,1,303,100,49.9473677487755,6.76202066473481
"15",2022-03-08 00:01:10,1,303,100,45.7584614502615,5.65785718885253
"16",2022-03-08 00:01:15,1,303,100,46.6635196774063,6.46257906073409
"17",2022-03-08 00:01:20,1,303,100,49.6319492310878,6.11103439202301
"18",2022-03-08 00:01:25,1,303,100,47.274949310556,5.99637827771426
"19",2022-03-08 00:01:30,1,303,100,48.330094024915,6.02498391176248
"20",2022-03-08 00:01:35,1,303,100,49.131099047235,6.04791461687026
"21",2022-03-08 00:01:40,1,303,100,46.5212009513149,6.71215837970714
"22",2022-03-08 00:01:45,1,303,100,49.4044107153077,5.93877110464937
"23",2022-03-08 00:01:50,1,303,100,48.7534638024835,6.65876686661731
"24",2022-03-08 00:01:55,1,303,100,47.2238545161051,6.58507218293707
"25",2022-03-08 00:02:00,1,303,100,48.4151055330194,6.66632737019411
"26",2022-03-08 00:02:05,1,303,100,48.7153250996583,6.27805087757714
"27",2022-03-08 00:02:10,1,303,100,48.3113514764509,6.46992703636385
"28",2022-03-08 00:02:15,1,303,100,46.2119850216464,6.07803509858098
"29",2022-03-08 00:02:20,1,303,100,48.7202414226488,5.98626215387213
"30",2022-03-08 00:02:25,1,303,100,48.4265710753791,6.53745451906266
"31",2022-03-08 00:02:30,1,303,100,47.8191349619579,5.78203988302075
"32",2022-03-08 00:02:35,1,303,100,47.1188175294872,5.80131248290646
"33",2022-03-08 00:02:40,1,303,100,47.9909745268839,6.51091277014651
"34",2022-03-08 00:02:45,1,303,100,51.0780684686394,6.73261601788311
"35",2022-03-08 00:02:50,1,303,100,49.0472660734453,6.07648136891599
"36",2022-03-08 00:02:55,1,303,100,46.6476396734858,6.33962153562286
"37",2022-03-08 00:03:00,1,303,100,46.3088167909915,6.61471536633336
"38",2022-03-08 00:03:05,1,303,100,46.9847165994939,5.85162852349741
"39",2022-03-08 00:03:10,1,303,100,48.1737871402324,5.8731966129339
"40",2022-03-08 00:03:15,1,303,100,49.8484913187244,5.89721287012824
"41",2022-03-08 00:03:20,1,303,100,47.6824492816215,5.68753300295949
"42",2022-03-08 00:03:25,1,303,100,49.1615397525796,6.26024770605726
"43",2022-03-08 00:03:30,1,303,100,46.864631478771,6.11111892626608
"44",2022-03-08 00:03:35,1,303,100,50.0586320550899,5.94711989295163
"45",2022-03-08 00:03:40,1,303,100,50.8541572794476,5.80914870691775
"46",2022-03-08 00:03:45,1,303,100,50.4468433691581,7.33707753854637
"47",2022-03-08 00:03:50,1,303,100,47.4671631574055,6.0407531720447
"48",2022-03-08 00:03:55,1,303,100,49.3113433080446,6.54901485992699
"49",2022-03-08 00:04:00,1,303,100,47.8655323453619,6.7469255484292
"50",2022-03-08 00:04:05,1,303,100,47.5588941032246,5.87076359000752
"51",2022-03-08 00:04:10,1,303,100,48.9635135356021,6.6151936290833
"52",2022-03-08 00:04:15,1,303,100,49.7988770498793,6.28110657643532
"53",2022-03-08 00:04:20,1,303,100,47.6311783866851,6.18132481642554
"54",2022-03-08 00:04:25,1,303,100,49.9947449855271,6.586658009703
"55",2022-03-08 00:04:30,1,303,100,50.3967177589431,6.57557277174264
"56",2022-03-08 00:04:35,1,303,100,47.9537092712107,6.09068338940301
"57",2022-03-08 00:04:40,1,303,100,46.3956747974647,6.48719574483932
"58",2022-03-08 00:04:45,1,303,100,49.1303337831849,5.86166021415087
"59",2022-03-08 00:04:50,1,303,100,48.6544743855474,6.37095729127621
"60",2022-03-08 00:04:55,1,303,100,48.0435686193176,5.84151134597769
"61",2022-03-08 00:05:00,1,303,100,47.1431486774891,6.18271340641139
"62",2022-03-08 00:05:05,1,303,100,47.5172164293484,6.51803919336146
"63",2022-03-08 00:05:10,1,303,100,46.9037161912851,5.91817501173984
"64",2022-03-08 00:05:15,1,303,100,50.3755623514816,5.40207907207452
"65",2022-03-08 00:05:20,1,303,100,47.5627054681582,6.44410257345789
"66",2022-03-08 00:05:25,1,303,100,49.3533273031256,6.50949037416038
"67",2022-03-08 00:05:30,1,303,100,48.2795153697038,5.74088843542862
"68",2022-03-08 00:05:35,1,303,100,48.979366766488,5.98055002430971
"69",2022-03-08 00:05:40,1,303,100,49.5892590987334,6.58775116490046
"70",2022-03-08 00:05:45,1,303,100,47.1674283438107,6.18812046335007
"71",2022-03-08 00:05:50,1,303,100,49.1741607084104,6.62658383718404
"72",2022-03-08 00:05:55,1,303,100,50.6560300025283,5.94061306368804
"73",2022-03-08 00:06:00,1,303,100,49.9445754901502,6.17731325973419
"74",2022-03-08 00:06:05,1,303,100,47.8089135592684,6.07883137870527
"75",2022-03-08 00:06:10,1,303,100,48.2975102910018,6.13958891896813
"76",2022-03-08 00:06:15,1,303,100,49.3484821524285,6.20656609459189
"77",2022-03-08 00:06:20,1,303,100,49.2335433166178,6.08733510581714
"78",2022-03-08 00:06:25,1,303,100,46.7027235279216,6.59696404599316
"79",2022-03-08 00:06:30,1,303,100,48.3903710909468,5.75640229950257
"80",2022-03-08 00:06:35,1,303,100,47.6891117329592,6.41783834694713
"81",2022-03-08 00:06:40,1,303,100,49.2320831046032,6.12535505791903
